"Ephemeris Data for Mercury Observations From Kitt Peak, AZ; McMath Observatory; All data for 20:00 UTC",,,,,,,,,,,,,,,,,
DateObs,Time,Sun_Data,Illum%,Def_illu,Ang-diam,Ob-lon,Ob-lat,Sl-lon,Sl-lat,r,rdot,delta,deldot,S-O-T,/r,S-T-O,True_Anom
1988-Oct-19,20:00,*,22.681,6.5566,8.480001,56.93,3.23,180.11,0.02,0.308099435,-1.5166612,0.793359864,41.98046,15.0223,/L,123.1134,351.3281
1988-Oct-20,20:00,*,27.455,5.9652,8.222857,63.07,3,179.92,0.03,0.307542323,-0.4102138,0.818169705,44.2122239,16.0097,/L,116.7955,357.6628
1988-Oct-21,20:00,*,32.366,5.3905,7.970077,69.03,2.77,179.71,0.03,0.307626959,0.7029424,0.844118869,45.9374486,16.8155,/L,110.6462,4.0072
1988-Oct-22,20:00,*,37.32,4.8419,7.724832,74.81,2.55,179.52,0.03,0.308351947,1.8046019,0.870917616,47.1660733,17.4476,/L,104.6851,10.3349
1988-Oct-23,20:00,*,42.236,4.3263,7.489478,80.43,2.35,179.37,0.03,0.309705502,2.8771162,0.89828596,47.9216036,17.9164,/L,98.9282,16.62
1988-Oct-24,20:00,*,47.041,3.8478,7.265635,85.9,2.15,179.29,0.03,0.311666011,3.904216,0.925960688,48.2382838,18.2346,/L,93.3875,22.8382
1988-Oct-25,20:00,*,51.678,3.4088,7.054302,91.22,1.96,179.3,0.03,0.314203034,4.8716908,0.953700695,48.1580916,18.4159,/L,88.072,28.9673
1988-Oct-26,20:00,*,56.1,3.0098,6.855964,96.43,1.79,179.42,0.03,0.317278644,5.7678671,0.981290587,47.7277818,18.4744,/L,82.9873,34.9878
1988-Oct-27,20:00,*,60.275,2.6499,6.670707,101.52,1.62,179.66,0.04,0.320848971,6.5838611,1.008542633,46.9961714,18.424,/L,78.1359,40.8835
1988-Oct-28,20:00,*,64.182,2.3276,6.49832,106.52,1.47,180.04,0.03,0.324865837,7.3136128,1.03529727,46.0118099,18.2782,/L,73.5174,46.6413
